id,symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,net_pnl,pnl_percent,gross_pnl,commission,slippage,duration_minutes,bars_held,max_adverse_excursion,max_favorable_excursion,exit_reason,signal_confidence,market_regime
T-00001,AAPL,LONG,2024-01-19T13:30:00,2024-01-19T14:10:00,191.1455,191.7084,10,4.63,0.2421,5.63,1.0,0.96,40,8,0.96,8.04,Take profit hit,0.57,TREND_UP
T-00002,AAPL,SHORT,2024-01-23T09:30:00,2024-01-23T15:55:00,194.9525,195.2476,10,-3.95,-0.2027,-2.95,1.0,0.98,385,77,4.18,11.32,End of day,0.58,RANGE_BOUND
T-00003,AAPL,LONG,2024-01-26T13:30:00,2024-01-26T15:50:00,192.7763,191.8608,10,-10.16,-0.5268,-9.16,1.0,0.96,140,28,8.36,2.04,Stop loss hit,0.57,RANGE_BOUND
T-00004,AAPL,LONG,2024-01-29T15:05:00,2024-01-29T15:55:00,191.7858,191.6841,10,-2.02,-0.1052,-1.02,1.0,0.96,50,10,3.96,4.14,End of day,0.57,TREND_UP
T-00005,AAPL,SHORT,2024-01-31T10:20:00,2024-01-31T14:40:00,185.1074,186.8595,10,-18.52,-1.0005,-17.52,1.0,0.93,260,52,16.83,2.07,Stop loss hit,0.77,TREND_DOWN
T-00006,AAPL,SHORT,2024-01-31T15:00:00,2024-01-31T15:55:00,185.2273,184.5923,10,5.35,0.2889,6.35,1.0,0.92,55,11,4.93,7.27,End of day,0.57,TREND_DOWN
T-00007,AAPL,LONG,2024-02-01T13:45:00,2024-02-01T15:55:00,185.8929,186.7966,10,8.04,0.4323,9.04,1.0,0.93,130,26,3.43,10.57,End of day,0.57,TREND_UP
T-00008,AAPL,SHORT,2024-02-05T09:30:00,2024-02-05T12:30:00,187.1664,188.74,10,-16.74,-0.8942,-15.74,1.0,0.94,180,36,16.84,13.26,Stop loss hit,0.58,RANGE_BOUND
T-00009,AAPL,LONG,2024-02-07T10:30:00,2024-02-07T15:55:00,189.8249,189.3153,10,-6.1,-0.3211,-5.1,1.0,0.95,325,65,11.75,1.05,End of day,0.58,TREND_UP
T-00010,AAPL,LONG,2024-02-08T10:05:00,2024-02-08T10:30:00,188.5142,187.5083,10,-11.06,-0.5866,-10.06,1.0,0.94,25,5,11.64,0.0,Stop loss hit,0.6,RANGE_BOUND
T-00011,AAPL,LONG,2024-02-09T13:30:00,2024-02-09T13:50:00,189.5647,188.9469,10,-7.18,-0.3787,-6.18,1.0,0.95,20,4,5.25,0.0,Stop loss hit,0.57,TREND_UP
T-00012,AAPL,LONG,2024-02-09T14:25:00,2024-02-09T15:55:00,188.9444,188.7356,10,-3.09,-0.1635,-2.09,1.0,0.94,90,18,3.84,0.86,End of day,0.55,TREND_UP
T-00013,AAPL,LONG,2024-02-12T10:30:00,2024-02-12T15:55:00,187.5837,187.0864,10,-5.97,-0.3184,-4.97,1.0,0.94,325,65,7.94,7.86,End of day,0.58,RANGE_BOUND
T-00014,AAPL,SHORT,2024-02-13T14:45:00,2024-02-13T15:50:00,184.1079,184.8317,10,-8.24,-0.4474,-7.24,1.0,0.92,65,13,7.22,5.98,Stop loss hit,0.57,TREND_DOWN
T-00015,AAPL,SHORT,2024-02-14T12:05:00,2024-02-14T15:25:00,182.5687,183.5106,10,-10.42,-0.5707,-9.42,1.0,0.92,200,40,9.91,1.29,Stop loss hit,0.57,TREND_DOWN
T-00016,AAPL,LONG,2024-02-16T14:00:00,2024-02-16T14:45:00,183.1215,182.5048,10,-7.17,-0.3914,-6.17,1.0,0.91,45,9,9.62,0.78,Stop loss hit,0.55,TREND_UP
T-00017,AAPL,LONG,2024-02-22T13:30:00,2024-02-22T14:15:00,184.152,184.6476,10,3.96,0.2148,4.96,1.0,0.92,45,9,2.12,5.98,Take profit hit,0.57,TREND_UP
T-00018,AAPL,LONG,2024-02-22T14:20:00,2024-02-22T14:55:00,184.9424,184.3239,10,-7.19,-0.3885,-6.19,1.0,0.92,35,7,5.52,0.18,Stop loss hit,0.57,TREND_UP
T-00019,AAPL,SHORT,2024-02-23T11:10:00,2024-02-23T15:55:00,182.6986,182.6113,10,-0.13,-0.0069,0.87,1.0,0.91,285,57,4.21,4.69,End of day,0.55,TREND_DOWN
T-00020,AAPL,LONG,2024-02-26T09:30:00,2024-02-26T09:40:00,182.091,181.37,10,-8.21,-0.4509,-7.21,1.0,0.91,10,2,8.81,0.09,Stop loss hit,0.58,RANGE_BOUND
T-00021,AAPL,LONG,2024-02-26T10:25:00,2024-02-26T15:55:00,181.6908,181.0494,10,-7.41,-0.408,-6.41,1.0,0.91,330,66,10.41,1.59,End of day,0.57,RANGE_BOUND
T-00022,AAPL,LONG,2024-02-27T13:40:00,2024-02-27T13:55:00,180.2601,179.6159,11,-8.09,-0.4078,-7.09,1.0,0.99,15,3,7.7,2.53,Stop loss hit,0.57,RANGE_BOUND
T-00023,AAPL,SHORT,2024-02-29T11:40:00,2024-02-29T13:05:00,179.7201,180.6949,11,-11.72,-0.593,-10.72,1.0,0.99,85,17,11.0,0.99,Stop loss hit,0.77,TREND_DOWN
T-00024,AAPL,LONG,2024-03-01T10:20:00,2024-03-01T15:55:00,178.5392,179.5402,11,10.01,0.5097,11.01,1.0,0.99,335,67,12.75,18.49,End of day,0.6,RANGE_BOUND
T-00025,AAPL,SHORT,2024-03-05T10:20:00,2024-03-05T15:55:00,170.0349,170.2551,11,-3.42,-0.1829,-2.42,1.0,0.94,335,67,9.52,4.34,End of day,0.77,TREND_DOWN
T-00026,AAPL,LONG,2024-03-06T09:45:00,2024-03-06T15:55:00,169.5948,169.0354,11,-7.15,-0.3834,-6.15,1.0,0.93,370,74,10.06,8.31,End of day,0.58,RANGE_BOUND
T-00027,AAPL,LONG,2024-03-07T10:45:00,2024-03-07T13:55:00,169.1045,170.469,11,14.01,0.7531,15.01,1.0,0.94,190,38,5.44,16.45,Take profit hit,0.57,TREND_UP
T-00028,AAPL,SHORT,2024-03-08T11:30:00,2024-03-08T14:20:00,172.2838,173.4656,11,-14.0,-0.7387,-13.0,1.0,0.95,170,34,12.06,14.89,Stop loss hit,0.58,RANGE_BOUND
T-00029,AAPL,SHORT,2024-03-08T15:35:00,2024-03-08T15:55:00,171.0744,170.8254,11,1.74,0.0924,2.74,1.0,0.94,20,4,4.35,3.9,End of day,0.55,TREND_DOWN
T-00030,AAPL,SHORT,2024-03-11T09:30:00,2024-03-11T15:55:00,173.4932,172.8764,11,5.78,0.3031,6.78,1.0,0.95,385,77,9.75,15.88,End of day,0.58,RANGE_BOUND
T-00031,AAPL,LONG,2024-03-12T10:35:00,2024-03-12T15:55:00,172.7964,173.1334,11,2.71,0.1424,3.71,1.0,0.95,320,64,9.2,13.57,End of day,0.58,TREND_UP
T-00032,AAPL,SHORT,2024-03-14T11:20:00,2024-03-14T15:55:00,173.4133,173.1665,11,1.71,0.0898,2.71,1.0,0.95,275,55,6.45,13.13,End of day,0.55,TREND_DOWN
T-00033,AAPL,LONG,2024-03-19T13:40:00,2024-03-19T14:30:00,175.8879,176.5003,11,5.74,0.2965,6.74,1.0,0.97,50,10,1.08,7.94,Take profit hit,0.57,TREND_UP
T-00034,AAPL,LONG,2024-03-19T14:35:00,2024-03-19T15:55:00,176.4982,175.8488,11,-8.14,-0.4194,-7.14,1.0,0.97,80,16,7.79,0.68,Stop loss hit,0.57,TREND_UP
T-00035,AAPL,LONG,2024-03-20T14:10:00,2024-03-20T14:40:00,176.9084,177.6711,11,7.39,0.3797,8.39,1.0,0.98,30,6,3.5,9.48,Take profit hit,0.57,TREND_UP
T-00036,AAPL,LONG,2024-03-20T15:10:00,2024-03-20T15:55:00,178.099,178.5607,11,4.08,0.2082,5.08,1.0,0.98,45,9,1.75,6.28,End of day,0.57,TREND_UP
T-00037,AAPL,LONG,2024-03-25T10:15:00,2024-03-25T15:55:00,170.115,170.7646,11,6.15,0.3284,7.15,1.0,0.94,340,68,1.82,20.07,End of day,0.57,RANGE_BOUND
T-00038,AAPL,LONG,2024-03-26T09:30:00,2024-03-26T12:25:00,170.105,171.0687,11,9.6,0.5131,10.6,1.0,0.94,175,35,1.71,12.59,Take profit hit,0.58,RANGE_BOUND
T-00039,AAPL,SHORT,2024-03-27T10:05:00,2024-03-27T15:55:00,172.8635,173.4967,11,-7.96,-0.4189,-6.96,1.0,0.95,350,70,8.1,11.04,End of day,0.58,RANGE_BOUND
T-00040,AAPL,LONG,2024-03-28T09:30:00,2024-03-28T15:55:00,171.3556,171.3943,11,-0.58,-0.0305,0.42,1.0,0.94,385,77,9.3,9.62,End of day,0.58,RANGE_BOUND
T-00041,AAPL,LONG,2024-04-01T09:40:00,2024-04-01T15:55:00,170.4452,169.925,11,-6.72,-0.3585,-5.72,1.0,0.94,375,75,10.73,0.6,End of day,0.58,RANGE_BOUND
T-00042,AAPL,SHORT,2024-04-04T13:55:00,2024-04-04T14:10:00,170.7346,170.3165,11,3.6,0.1916,4.6,1.0,0.94,15,3,1.05,8.85,Take profit hit,0.65,TREND_DOWN
T-00043,AAPL,SHORT,2024-04-04T15:00:00,2024-04-04T15:55:00,169.4752,168.9744,11,4.51,0.2418,5.51,1.0,0.93,55,11,5.0,7.1,End of day,1.01,STRONG_TREND_DOWN
T-00044,AAPL,LONG,2024-04-05T10:45:00,2024-04-05T15:55:00,169.5147,169.5152,11,-0.99,-0.0533,0.01,1.0,0.93,310,62,3.35,9.63,End of day,0.57,TREND_UP
T-00045,AAPL,LONG,2024-04-08T10:20:00,2024-04-08T15:55:00,168.9144,168.3758,11,-6.93,-0.3727,-5.93,1.0,0.93,335,67,7.2,2.37,End of day,0.57,RANGE_BOUND
T-00046,AAPL,SHORT,2024-04-09T15:10:00,2024-04-09T15:20:00,168.3558,168.8655,11,-6.61,-0.3567,-5.61,1.0,0.93,10,2,4.78,0.0,Stop loss hit,0.57,TREND_DOWN
T-00047,AAPL,LONG,2024-04-11T13:55:00,2024-04-11T15:20:00,173.1065,174.5984,11,15.41,0.8093,16.41,1.0,0.96,85,17,1.83,17.75,Take profit hit,0.57,TREND_UP
T-00048,AAPL,SHORT,2024-04-15T13:25:00,2024-04-15T14:05:00,174.4327,173.2466,11,12.05,0.6279,13.05,1.0,0.95,40,8,2.06,16.86,Take profit hit,0.57,TREND_DOWN
T-00049,AAPL,LONG,2024-04-16T10:15:00,2024-04-16T10:35:00,172.1961,170.6175,11,-18.36,-0.9695,-17.36,1.0,0.94,20,4,19.32,0.48,Stop loss hit,0.57,RANGE_BOUND
T-00050,AAPL,LONG,2024-04-16T11:10:00,2024-04-16T15:55:00,169.3947,169.2553,11,-2.53,-0.1359,-1.53,1.0,0.93,285,57,12.37,11.06,End of day,0.58,RANGE_BOUND
T-00051,AAPL,SHORT,2024-04-17T11:45:00,2024-04-17T15:55:00,168.8755,168.084,11,7.71,0.4149,8.71,1.0,0.92,250,50,3.35,9.63,End of day,0.57,TREND_DOWN
T-00052,AAPL,SHORT,2024-04-18T13:35:00,2024-04-18T15:55:00,166.7366,167.0935,11,-4.93,-0.2686,-3.93,1.0,0.92,140,28,7.08,2.05,End of day,0.57,TREND_DOWN
T-00053,AAPL,SHORT,2024-04-19T10:35:00,2024-04-19T15:55:00,165.1274,165.0125,12,0.38,0.0191,1.38,1.0,0.99,320,64,6.51,12.69,End of day,0.77,TREND_DOWN
T-00054,AAPL,SHORT,2024-04-22T11:10:00,2024-04-22T11:25:00,164.7776,165.5374,12,-10.12,-0.5117,-9.12,1.0,0.99,15,3,8.43,0.09,Stop loss hit,0.67,TREND_DOWN
T-00055,AAPL,SHORT,2024-04-24T11:40:00,2024-04-24T12:00:00,167.916,168.8254,11,-11.0,-0.5957,-10.0,1.0,0.93,20,4,15.0,0.0,Stop loss hit,0.55,TREND_DOWN
T-00056,AAPL,SHORT,2024-04-24T12:40:00,2024-04-24T13:50:00,168.2458,169.3646,11,-13.31,-0.719,-12.31,1.0,0.93,70,14,11.49,1.49,Stop loss hit,0.55,TREND_DOWN
T-00057,AAPL,LONG,2024-04-25T13:30:00,2024-04-25T15:00:00,169.0045,169.7037,11,6.69,0.3599,7.69,1.0,0.93,90,18,0.82,10.07,Take profit hit,0.57,TREND_UP
T-00058,AAPL,LONG,2024-04-25T15:10:00,2024-04-25T15:55:00,169.9849,169.8151,11,-2.87,-0.1534,-1.87,1.0,0.93,45,9,6.32,0.61,End of day,0.57,TREND_UP
T-00059,AAPL,LONG,2024-04-26T10:45:00,2024-04-26T12:35:00,171.0155,169.9361,11,-12.87,-0.6843,-11.87,1.0,0.94,110,22,11.83,3.57,Stop loss hit,0.58,TREND_UP
T-00060,AAPL,LONG,2024-04-26T13:30:00,2024-04-26T15:55:00,169.8549,169.2764,11,-7.36,-0.3941,-6.36,1.0,0.93,145,29,7.42,2.81,Stop loss hit,0.57,TREND_UP
T-00061,AAPL,SHORT,2024-04-30T15:25:00,2024-04-30T15:50:00,172.6436,171.9474,11,6.66,0.3506,7.66,1.0,0.95,25,5,3.26,20.5,Take profit hit,0.55,TREND_DOWN
T-00062,AAPL,LONG,2024-05-01T14:35:00,2024-05-01T15:50:00,171.7358,170.6432,11,-13.02,-0.6892,-12.02,1.0,0.94,75,15,18.32,10.72,Stop loss hit,0.55,TREND_UP
T-00063,AAPL,SHORT,2024-05-02T10:00:00,2024-05-02T15:45:00,171.0744,173.3448,11,-25.97,-1.3803,-24.97,1.0,0.95,345,69,25.8,0.0,Stop loss hit,0.55,TREND_DOWN
T-00064,AAPL,LONG,2024-05-03T14:05:00,2024-05-03T15:10:00,185.7028,184.7658,10,-10.37,-0.5584,-9.37,1.0,0.92,65,13,9.13,2.87,Stop loss hit,0.57,TREND_UP
T-00065,AAPL,LONG,2024-05-06T09:40:00,2024-05-06T13:15:00,182.4212,180.7574,10,-17.64,-0.9668,-16.64,1.0,0.9,215,43,15.81,6.69,Stop loss hit,0.58,RANGE_BOUND
T-00066,AAPL,LONG,2024-05-06T14:10:00,2024-05-06T15:55:00,180.9204,181.6091,11,6.58,0.3304,7.58,1.0,1.0,105,21,2.53,12.1,End of day,0.57,RANGE_BOUND
T-00067,AAPL,LONG,2024-05-08T10:25:00,2024-05-08T15:55:00,181.9909,182.6586,10,5.68,0.3119,6.68,1.0,0.91,330,66,2.41,10.79,End of day,0.57,RANGE_BOUND
T-00068,AAPL,LONG,2024-05-09T10:50:00,2024-05-09T15:55:00,183.4417,184.5662,10,10.25,0.5585,11.25,1.0,0.92,305,61,3.32,12.18,Take profit hit,0.57,TREND_UP
T-00069,AAPL,LONG,2024-05-10T10:00:00,2024-05-10T10:45:00,183.8719,182.7404,10,-12.32,-0.6698,-11.32,1.0,0.91,45,9,11.12,1.08,Stop loss hit,0.57,RANGE_BOUND
T-00070,AAPL,LONG,2024-05-14T14:30:00,2024-05-14T15:55:00,187.4337,187.2963,10,-2.37,-0.1266,-1.37,1.0,0.94,85,17,2.74,4.76,End of day,0.57,TREND_UP
T-00071,AAPL,LONG,2024-05-15T11:15:00,2024-05-15T15:55:00,190.065,189.6551,10,-5.1,-0.2683,-4.1,1.0,0.95,280,56,5.65,5.85,End of day,0.58,TREND_UP
T-00072,AAPL,SHORT,2024-05-21T09:35:00,2024-05-21T10:00:00,191.6741,192.4233,10,-8.49,-0.443,-7.49,1.0,0.96,25,5,8.46,1.44,Stop loss hit,0.58,RANGE_BOUND
T-00073,AAPL,LONG,2024-05-21T15:30:00,2024-05-21T15:50:00,192.7463,192.2913,10,-5.55,-0.288,-4.55,1.0,0.96,20,4,4.36,0.0,Stop loss hit,0.55,TREND_UP
T-00074,AAPL,SHORT,2024-05-22T14:00:00,2024-05-22T15:30:00,190.3548,191.1223,10,-8.68,-0.4557,-7.68,1.0,0.96,90,18,8.85,0.0,Stop loss hit,0.63,TREND_DOWN
T-00075,AAPL,LONG,2024-05-23T10:05:00,2024-05-23T13:55:00,188.9744,187.538,10,-15.36,-0.8131,-14.36,1.0,0.94,230,46,14.14,7.36,Stop loss hit,0.6,RANGE_BOUND
T-00076,AAPL,SHORT,2024-05-23T14:05:00,2024-05-23T15:55:00,187.5062,187.0035,10,4.03,0.2148,5.03,1.0,0.93,110,22,3.64,8.86,End of day,0.73,STRONG_TREND_DOWN
T-00077,AAPL,SHORT,2024-05-31T12:10:00,2024-05-31T15:05:00,189.915,190.9304,10,-11.15,-0.5873,-10.15,1.0,0.95,175,35,10.05,0.05,Stop loss hit,0.57,TREND_DOWN
T-00078,AAPL,SHORT,2024-06-03T12:20:00,2024-06-03T15:55:00,193.2833,194.187,10,-10.04,-0.5193,-9.04,1.0,0.97,215,43,8.27,4.43,End of day,0.55,TREND_DOWN
T-00079,AAPL,LONG,2024-06-04T14:15:00,2024-06-04T15:00:00,195.0775,194.3649,10,-8.13,-0.4165,-7.13,1.0,0.97,45,9,11.47,2.43,Stop loss hit,0.57,TREND_UP
T-00080,AAPL,LONG,2024-06-05T11:15:00,2024-06-05T15:55:00,195.9579,195.8021,10,-2.56,-0.1306,-1.56,1.0,0.98,280,56,3.68,9.42,End of day,0.58,TREND_UP
T-00081,AAPL,LONG,2024-06-07T10:40:00,2024-06-07T15:55:00,195.7078,196.8015,10,9.94,0.5078,10.94,1.0,0.98,315,63,7.98,12.32,End of day,0.58,TREND_UP
T-00082,AAPL,LONG,2024-06-10T15:10:00,2024-06-10T15:55:00,194.2271,193.0334,10,-12.94,-0.666,-11.94,1.0,0.97,45,9,19.37,0.0,End of day,0.55,TREND_UP
T-00083,AAPL,LONG,2024-06-11T13:50:00,2024-06-11T15:55:00,205.3026,207.0164,9,14.42,0.7807,15.42,1.0,0.93,125,25,7.76,16.72,Take profit hit,0.57,TREND_UP
T-00084,AAPL,LONG,2024-06-12T10:30:00,2024-06-12T15:55:00,215.1875,213.1434,9,-19.4,-1.0016,-18.4,1.0,0.96,325,65,21.22,45.11,End of day,0.58,TREND_UP
T-00085,AAPL,SHORT,2024-06-13T10:55:00,2024-06-13T15:55:00,212.7536,214.2371,9,-14.35,-0.7495,-13.35,1.0,0.96,300,60,19.14,10.38,End of day,0.55,TREND_DOWN
T-00086,AAPL,LONG,2024-06-20T11:00:00,2024-06-20T15:50:00,210.4452,208.782,9,-15.97,-0.8431,-14.97,1.0,0.94,290,58,14.36,6.61,Stop loss hit,0.62,RANGE_BOUND
T-00087,AAPL,SHORT,2024-06-24T15:55:00,2024-06-25T09:30:00,208.0459,209.4207,9,-13.37,-0.7142,-12.37,1.0,0.94,1055,1,24.52,0.0,Stop loss hit,0.57,TREND_DOWN
T-00088,AAPL,SHORT,2024-06-26T09:30:00,2024-06-26T11:00:00,211.9939,213.5496,9,-15.0,-0.7862,-14.0,1.0,0.96,90,18,14.81,12.19,Stop loss hit,0.58,RANGE_BOUND
T-00089,AAPL,LONG,2024-06-28T10:35:00,2024-06-28T14:20:00,215.0375,213.093,9,-18.5,-0.9559,-17.5,1.0,0.96,225,45,16.9,0.2,Stop loss hit,0.58,TREND_UP
